text,intent
i have a question about change my username,question
world-class service,praise
i need help with set a new password,question
magnificent resolution,praise
can you help me with change email address,question
dropping a note to say agent was extremely helpful,praise
how do i use the command palette,question
fantastic support,praise
absolutely world-class service,praise
performance is vastly improved in this release,praise
truly top-notch team,praise
can you help me with login is not working,question
looking for help with need to reset my password,question
cannot help but mention that support was quick to respond,praise
how do i import a csv file,question
looking for help with view my invoice,question
the billing page keeps crashing on me,complaint
i need help with trouble signing in,question
i am having serious issues with the export feature,complaint
i am angry because everything is down,complaint
hey rockstar,greeting
how do i export contacts,question
thrilled to share that immediate help was provided,praise
absolutely exceptional response,praise
thrilled to share that outstanding customer support,praise
truly phenomenal response,praise
what a outstanding team,praise
this is hands down the best tool in its category,praise
i need help with when will my order arrive,question
can you help me with the return policy,question
absolutely exceptional resolution,praise
please help me understand exchange a product,question
huge improvement from the previous version,praise
truly outstanding service,praise
delighted to say that very helpful team,praise
i am having serious issues with the integration,complaint
heartfelt greeting,greeting
the onboarding flow is giving me errors constantly,complaint
could you explain edit my profile,question
evening there,greeting
perfect platform,praise
what a extraordinary product,praise
what a top-notch service,praise
absolutely splendid platform,praise
i am having serious issues with the mobile app,complaint
could you explain my order,question
can i restore a previous version,question
absolutely remarkable resolution,praise
absolutely outstanding service,praise
please help me understand do you offer a free trial,question
what a flawless service,praise
i have a question about recover my password,question
hi friend,greeting
yo today,greeting
absolutely remarkable response,praise
hi there good morning,greeting
what a remarkable platform,praise
truly superb platform,praise
top-notch team,praise
how to change email address,question
what a stellar support,praise
truly stellar platform,praise
writing in to compliment great service,praise
absolutely impressive product,praise
absolutely remarkable support,praise
how do i schedule something,question
is there a way to pause my subscription,question
reaching out specifically to say wonderful service,praise
i need help with cannot remember my password,question
truly phenomenal experience,praise
absolutely phenomenal service,praise
need some guidance on remove a payment method,question
looking for help with update my password,question
i cannot believe that the app is unavailable,complaint
need some guidance on change shipping address,question
is there a way to login page is not loading,question
absolutely top-notch resolution,praise
what a exceptional product,praise
where are the account settings,question
truly extraordinary response,praise
your documentation is outdated and incorrect,complaint
the audit logs is extremely slow and unusable,complaint
ciao there,greeting
my account was hacked,complaint
compelled to share that very knowledgeable staff,praise
cannot remember my password,question
offered a credit to compensate for the inconvenience,praise
what a fantastic support,praise
is there a way to change shipping address,question
shoutout to the agent for the excellent work,praise
what a first-class product,praise
please help me understand what happens after the trial ends,question
do you offer a free trial,question
warmest hiya,greeting
i am having serious issues with the calendar integration,complaint
once again having trouble with service is completely broken,complaint
please help me understand get a refund,question
it is unacceptable that videos are buffering non stop,complaint
compelled to share that support was quick to respond,praise
is there a way to exchange a product,question
truly remarkable experience,praise
what a wonderful response,praise
account has been suspended without reason,complaint
my feature request was actually implemented in the next release,praise
where are my files,question
how do i create an email campaign,question
warm greetings,greeting
wanted to give a shoutout for very helpful team,praise
absolutely incredible platform,praise
wanted to give a shoutout for great service,praise
absolutely amazing resolution,praise
please help me understand where are the account settings,question
hey guys,greeting
the calendar integration is giving me errors constantly,complaint
happy to report that agent was extremely helpful,praise
refund my money immediately,complaint
the email integration keeps crashing on me,complaint
absolutely brilliant support,praise
can you help me with cancel an order,question
how do i connect to google drive,question
i am deeply disappointed that pages are taking forever to load,complaint
i am frustrated because the website is not loading,complaint
the reporting tool is completely broken,complaint
still experiencing the issue with file upload is extremely slow,complaint
hello good evening,greeting
hey sir,greeting
hello all,greeting
i wanted to let you know super fast response time,praise
what a amazing platform,praise
looking for help with report a missing item,question
there is a critical bug in the notifications,complaint
just a good morning,greeting
switched to this and never looked back,praise
how to update my password,question
impeccable service,praise
i am frustrated because it keeps timing out,complaint
the data export is not loading properly,complaint
wonderful response,praise
i was wondering about cancel my subscription,question
could you explain change my password,question
rise and shine,greeting
how to merge two accounts,question
could you explain reset password,question
i wanted to let you know fastest support i have ever experienced,praise
the export feature is giving me errors constantly,complaint
i need help with login page is not loading,question
please help me understand view my invoice,question
how do i access my old invoices,question
the automation feature stopped working after the last update,complaint
looking for help with login is not working,question
what a perfect resolution,praise
what a world-class experience,praise
i am frustrated because getting a 500 error,complaint
splendid response,praise
absolutely first-class team,praise
looking for help with login page is not loading,question
i hate how complicated everything is,complaint
what a flawless experience,praise
truly impressive service,praise
cannot help but mention that solved my problem completely,praise
how to view my invoice,question
the reporting tool is not loading properly,complaint
do you offer phone support,question
what a wonderful support,praise
good morning all,greeting
exceptional response,praise
what a phenomenal service,praise
can i pay by bank transfer,question
still experiencing the issue with your servers are down,complaint
good to be back,greeting
i am frustrated because getting a 404 error,complaint
good evening madam,greeting
this product does not do what was advertised,complaint
the mobile app is completely broken,complaint
incredible support,praise
gave clear and detailed instructions,praise
truly excellent platform,praise
what a extraordinary resolution,praise
ciao again,greeting
i am deeply disappointed that service is completely broken,complaint
i was wondering about downgrade my plan,question
the account settings is not loading properly,complaint
hi reaching out for the first time today,greeting
good evening everyone,greeting
good morning agent,greeting
can i use my own custom domain,question
what a magnificent team,praise
what a magnificent experience,praise
where can i see audit logs,question
i need help with how does billing work,question
wanted to give a shoutout for response was almost instant,praise
reaching out specifically to say went above and beyond for me,praise
absolutely great platform,praise
hello to the whole support team,greeting
the import function is giving me errors constantly,complaint
refund has not been processed,complaint
dropping a note to say very knowledgeable staff,praise
hi guys,greeting
dropping by to say a friendly hello,greeting
pleased to be in touch today,greeting
this is terrible,complaint
